Tarih,Hat,Vardiya,Planli Sure (dk),Durus Suresi (dk),Durus Nedeni,Uretim Adedi,Hatali Adet,Cevrim Suresi (sn)
2026-04-29,Hat-1,Vardiya-1,480,42,Ariza,679,16,35
2026-04-29,Hat-1,Vardiya-2,480,65,Kalite Sorunu,612,19,35
2026-04-29,Hat-2,Vardiya-1,480,77,Vardiya Devri,408,8,50
2026-04-29,Hat-2,Vardiya-2,480,78,Ariza,408,11,50
2026-04-29,Hat-3,Vardiya-1,480,59,Ariza,803,28,28
2026-04-29,Hat-3,Vardiya-2,480,43,Kalip/Ayar Degisimi,874,22,28
2026-04-30,Hat-1,Vardiya-1,480,60,Kalip/Ayar Degisimi,632,16,35
2026-04-30,Hat-1,Vardiya-2,480,66,Vardiya Devri,622,17,35
2026-04-30,Hat-2,Vardiya-1,480,77,Malzeme Bekleme,407,16,50
2026-04-30,Hat-2,Vardiya-2,480,92,Ariza,382,6,50
2026-04-30,Hat-3,Vardiya-1,480,54,Planli Bakim,796,21,28
2026-04-30,Hat-3,Vardiya-2,480,69,Malzeme Bekleme,798,16,28
2026-05-01,Hat-1,Vardiya-1,480,46,Planli Bakim,658,19,35
2026-05-01,Hat-1,Vardiya-2,480,42,Malzeme Bekleme,667,14,35
2026-05-01,Hat-2,Vardiya-1,480,80,Malzeme Bekleme,418,11,50
2026-05-01,Hat-2,Vardiya-2,480,83,Malzeme Bekleme,410,12,50
2026-05-01,Hat-3,Vardiya-1,480,90,Malzeme Bekleme,792,26,28
2026-05-01,Hat-3,Vardiya-2,480,70,Malzeme Bekleme,748,13,28
2026-05-02,Hat-1,Vardiya-1,480,77,Malzeme Bekleme,584,8,35
2026-05-02,Hat-1,Vardiya-2,480,97,Malzeme Bekleme,580,7,35
2026-05-02,Hat-2,Vardiya-1,480,93,Ariza,386,11,50
2026-05-02,Hat-2,Vardiya-2,480,83,Kalip/Ayar Degisimi,399,17,50
2026-05-02,Hat-3,Vardiya-1,480,47,Malzeme Bekleme,817,15,28
2026-05-02,Hat-3,Vardiya-2,480,57,Ariza,814,27,28
2026-05-03,Hat-1,Vardiya-1,360,103,Planli Bakim,404,14,35
2026-05-03,Hat-1,Vardiya-2,360,125,Planli Bakim,358,8,35
2026-05-03,Hat-2,Vardiya-1,360,99,Planli Bakim,270,6,50
2026-05-03,Hat-2,Vardiya-2,360,93,Malzeme Bekleme,281,7,50
2026-05-03,Hat-3,Vardiya-1,360,124,Malzeme Bekleme,445,12,28
2026-05-03,Hat-3,Vardiya-2,360,128,Planli Bakim,423,11,28
2026-05-04,Hat-1,Vardiya-1,480,73,Planli Bakim,639,11,35
2026-05-04,Hat-1,Vardiya-2,480,91,Kalip/Ayar Degisimi,587,10,35
2026-05-04,Hat-2,Vardiya-1,480,104,Malzeme Bekleme,390,11,50
2026-05-04,Hat-2,Vardiya-2,480,97,Malzeme Bekleme,393,8,50
2026-05-04,Hat-3,Vardiya-1,480,86,Malzeme Bekleme,730,7,28
2026-05-04,Hat-3,Vardiya-2,480,70,Diger,809,22,28
2026-05-05,Hat-1,Vardiya-1,480,77,Planli Bakim,596,12,35
2026-05-05,Hat-1,Vardiya-2,480,70,Malzeme Bekleme,608,16,35
2026-05-05,Hat-2,Vardiya-1,480,103,Kalite Sorunu,395,12,50
2026-05-05,Hat-2,Vardiya-2,480,63,Kalite Sorunu,453,9,50
2026-05-05,Hat-3,Vardiya-1,480,45,Ariza,864,22,28
2026-05-05,Hat-3,Vardiya-2,480,45,Ariza,872,23,28
2026-05-06,Hat-1,Vardiya-1,480,85,Ariza,587,13,35
2026-05-06,Hat-1,Vardiya-2,480,73,Ariza,652,12,35
2026-05-06,Hat-2,Vardiya-1,480,77,Ariza,400,7,50
2026-05-06,Hat-2,Vardiya-2,480,68,Kalip/Ayar Degisimi,408,8,50
2026-05-06,Hat-3,Vardiya-1,480,82,Ariza,788,14,28
2026-05-06,Hat-3,Vardiya-2,480,64,Vardiya Devri,841,12,28
2026-05-07,Hat-1,Vardiya-1,480,20,Kalip/Ayar Degisimi,677,15,35
2026-05-07,Hat-1,Vardiya-2,480,42,Kalite Sorunu,652,10,35
2026-05-07,Hat-2,Vardiya-1,480,91,Kalip/Ayar Degisimi,394,10,50
2026-05-07,Hat-2,Vardiya-2,480,69,Vardiya Devri,414,11,50
2026-05-07,Hat-3,Vardiya-1,480,43,Ariza,844,21,28
2026-05-07,Hat-3,Vardiya-2,480,57,Ariza,855,8,28
2026-05-08,Hat-1,Vardiya-1,480,72,Malzeme Bekleme,628,7,35
2026-05-08,Hat-1,Vardiya-2,480,44,Kalip/Ayar Degisimi,694,14,35
2026-05-08,Hat-2,Vardiya-1,480,73,Kalip/Ayar Degisimi,440,8,50
2026-05-08,Hat-2,Vardiya-2,480,104,Ariza,398,13,50
2026-05-08,Hat-3,Vardiya-1,480,66,Planli Bakim,764,16,28
2026-05-08,Hat-3,Vardiya-2,480,42,Kalip/Ayar Degisimi,858,16,28
2026-05-09,Hat-1,Vardiya-1,480,50,Ariza,641,15,35
2026-05-09,Hat-1,Vardiya-2,480,75,Ariza,608,15,35
2026-05-09,Hat-2,Vardiya-1,480,58,Kalip/Ayar Degisimi,429,15,50
2026-05-09,Hat-2,Vardiya-2,480,48,Malzeme Bekleme,451,16,50
2026-05-09,Hat-3,Vardiya-1,480,81,Kalip/Ayar Degisimi,728,17,28
2026-05-09,Hat-3,Vardiya-2,480,49,Kalip/Ayar Degisimi,837,24,28
2026-05-10,Hat-1,Vardiya-1,360,107,Planli Bakim,391,9,35
2026-05-10,Hat-1,Vardiya-2,360,112,Kalip/Ayar Degisimi,375,6,35
2026-05-10,Hat-2,Vardiya-1,360,111,Planli Bakim,269,7,50
2026-05-10,Hat-2,Vardiya-2,360,139,Planli Bakim,238,4,50
2026-05-10,Hat-3,Vardiya-1,360,125,Kalite Sorunu,442,16,28
2026-05-10,Hat-3,Vardiya-2,360,74,Planli Bakim,548,10,28
